impl,layers,batch,activation,time_ms,gflops,max_abs_diff
baseline,"512, 512, 512",64,relu,0.07,932.50,6.866455e-05
activation_fused,"512, 512, 512",64,relu,0.06,1125.76,6.866455e-05
baseline,"512, 512, 512",128,relu,0.07,1816.79,1.220703e-04
activation_fused,"512, 512, 512",128,relu,0.07,1806.15,1.220703e-04
baseline,"512, 512, 512",256,relu,0.11,2472.59,1.258850e-04
activation_fused,"512, 512, 512",256,relu,0.09,2954.40,1.258850e-04
baseline,"512, 512, 512",512,relu,0.14,3714.40,9.250641e-05
activation_fused,"512, 512, 512",512,relu,0.13,4055.92,9.250641e-05
baseline,"1024, 2048, 1024",64,relu,0.32,1661.22,5.035400e-04
activation_fused,"1024, 2048, 1024",64,relu,0.28,1899.53,5.035400e-04
baseline,"1024, 2048, 1024",128,relu,0.22,4805.68,5.035400e-04
activation_fused,"1024, 2048, 1024",128,relu,0.20,5448.28,5.035400e-04
baseline,"1024, 2048, 1024",256,relu,0.35,6080.38,6.084442e-04
activation_fused,"1024, 2048, 1024",256,relu,0.33,6484.00,6.084442e-04
baseline,"1024, 2048, 1024",512,relu,0.46,9271.84,6.084442e-04
activation_fused,"1024, 2048, 1024",512,relu,0.42,10344.94,6.084442e-04
baseline,"2048, 2048, 2048",64,relu,0.19,5697.39,3.890991e-04
activation_fused,"2048, 2048, 2048",64,relu,0.20,5495.83,3.890991e-04
baseline,"2048, 2048, 2048",128,relu,0.29,7461.71,9.002686e-04
activation_fused,"2048, 2048, 2048",128,relu,0.30,7117.92,9.002686e-04
baseline,"2048, 2048, 2048",256,relu,0.36,12038.24,1.091003e-03
activation_fused,"2048, 2048, 2048",256,relu,0.36,11948.22,1.091003e-03
baseline,"2048, 2048, 2048",512,relu,0.56,15353.07,1.091003e-03
activation_fused,"2048, 2048, 2048",512,relu,0.55,15685.36,1.091003e-03
