impl,M,K,N,density,nnz,avg_ms,gflops,max_err
baseline,512,512,64,0.001,579,0.151383,0.489566,1.78814e-07
opt,512,512,64,0.001,579,0.00839168,8.8316,1.78814e-07
baseline,512,512,64,0.002,715,0.143974,0.635669,2.38419e-07
opt,512,512,64,0.002,715,0.00778752,11.7521,2.38419e-07
baseline,512,512,64,0.005,1352,0.214548,0.806606,2.38419e-07
opt,512,512,64,0.005,1352,0.00888832,19.47,2.38419e-07
baseline,512,512,64,0.01,2612,0.369372,0.905147,4.76837e-07
opt,512,512,64,0.01,2612,0.0111565,29.9679,4.76837e-07
baseline,512,512,64,0.02,5266,0.697866,0.96587,5.96046e-07
opt,512,512,64,0.02,5266,0.0100915,66.7935,5.96046e-07
baseline,512,512,64,0.05,13104,1.11648,1.50232,1.43051e-06
opt,512,512,64,0.05,13104,0.0148326,113.082,1.43051e-06
baseline,512,512,64,0.1,26355,2.18818,1.54166,1.66893e-06
opt,512,512,64,0.1,26355,0.0210125,160.545,1.66893e-06
baseline,512,512,64,1.0,262144,16.9675,1.97758,9.53674e-06
opt,512,512,64,1.0,262144,0.204652,163.959,9.53674e-06
