impl,height,width,cin,cout,k,stride,padding,time_ms,gflops
naive,256,256,32,32,3,1,1,1.48,816.53
tiled,256,256,32,32,3,1,1,1.44,838.98
naive,256,256,32,64,3,1,1,2.91,829.04
tiled,256,256,32,64,3,1,1,2.80,862.02
naive,256,256,32,128,3,1,1,5.78,835.58
tiled,256,256,32,128,3,1,1,3.34,1446.09
naive,512,512,32,32,3,1,1,5.61,860.68
tiled,512,512,32,32,3,1,1,3.17,1525.57
naive,512,512,32,64,3,1,1,11.21,862.38
tiled,512,512,32,64,3,1,1,6.48,1490.21
naive,512,512,32,128,3,1,1,22.39,863.18
tiled,512,512,32,128,3,1,1,13.07,1478.72
naive,1024,1024,32,32,3,1,1,22.93,843.01
tiled,1024,1024,32,32,3,1,1,13.08,1477.07
naive,1024,1024,32,64,3,1,1,45.84,843.32
tiled,1024,1024,32,64,3,1,1,26.14,1479.03
naive,1024,1024,32,128,3,1,1,91.65,843.53
tiled,1024,1024,32,128,3,1,1,52.87,1462.27
